subset,1,,num_trips,avg_duration,hours,minutes,seconds
all,8,151,50,710.7,0.0,11.0,50.0
all,8,156,105,592.2095238095238,0.0,9.0,52.0
all,8,157,286,519.8881118881119,0.0,8.0,39.0
all,8,212,1,417.0,0.0,6.0,57.0
all,8,214,208,360.03365384615387,0.0,6.0,0.0
all,8,215,28,1123.607142857143,0.0,18.0,43.0
all,8,216,65,599.6153846153846,0.0,9.0,59.0
all,8,217,387,328.87338501291987,0.0,5.0,28.0
all,8,219,186,1042.741935483871,0.0,17.0,22.0
all,8,220,316,415.0189873417722,0.0,6.0,55.0
all,8,221,199,801.8844221105528,0.0,13.0,21.0
all,8,222,35,951.4857142857143,0.0,15.0,51.0
all,8,223,262,734.3358778625955,0.0,12.0,14.0
all,8,298,33,308.3939393939394,0.0,5.0,8.0
all,8,301,81,417.75308641975306,0.0,6.0,57.0
all,8,367,217,462.3594470046083,0.0,7.0,42.0
all,8,368,151,743.5695364238411,0.0,12.0,23.0
all,8,638,178,392.0280898876405,0.0,6.0,32.0
all,8,639,250,359.256,0.0,5.0,59.0
all,8,640,46,480.19565217391306,0.0,8.0,0.0
all,8,641,8,427.375,0.0,7.0,7.0
all,8,642,17,450.11764705882354,0.0,7.0,30.0
all,8,644,274,453.03284671532845,0.0,7.0,33.0
all,8,645,134,810.3134328358209,0.0,13.0,30.0
all,8,646,432,512.8518518518518,0.0,8.0,32.0
all,8,647,361,254.2742382271468,0.0,4.0,14.0
all,8,788,41,1330.121951219512,0.0,22.0,10.0
all,8,789,93,606.6236559139785,0.0,10.0,6.0
all,8,790,146,403.5,0.0,6.0,43.0
all,8,791,73,533.3835616438356,0.0,8.0,53.0
all,8,792,2097,23684.827849308534,6.0,34.0,44.0
all,8,793,17,993.1764705882352,0.0,16.0,33.0
all,8,794,37,961.1891891891892,0.0,16.0,1.0
all,8,795,245,603.3102040816326,0.0,10.0,3.0
all,8,796,264,721.9469696969697,0.0,12.0,1.0
all,8,797,558,847.568100358423,0.0,14.0,7.0
all,8,798,105,464.25714285714287,0.0,7.0,44.0
all,8,799,51,208.50980392156862,0.0,3.0,28.0
all,8,800,1,805.0,0.0,13.0,25.0
all,8,801,58,439.3103448275862,0.0,7.0,19.0
all,8,802,6,142.5,0.0,2.0,22.0
all,8,803,238,732.4663865546219,0.0,12.0,12.0
all,8,804,39,464.64102564102564,0.0,7.0,44.0
all,8,806,140,946.2785714285715,0.0,15.0,46.0
all,8,807,41,802.7560975609756,0.0,13.0,22.0
all,8,808,20,1013.85,0.0,16.0,53.0
all,8,809,168,375.0059523809524,0.0,6.0,15.0
all,8,810,93,570.6881720430108,0.0,9.0,30.0
all,8,811,112,786.5267857142857,0.0,13.0,6.0
all,8,812,77,1979.5324675324675,0.0,32.0,59.0
all,8,814,242,824.7768595041322,0.0,13.0,44.0
all,8,815,532,529.609022556391,0.0,8.0,49.0
all,8,816,106,452.04716981132077,0.0,7.0,32.0
all,8,817,322,439.7298136645963,0.0,7.0,19.0
all,8,818,99,362.6868686868687,0.0,6.0,2.0
all,8,819,20,1136.2,0.0,18.0,56.0
all,8,908,68,417.7647058823529,0.0,6.0,57.0
all,8,1043,80,892.55,0.0,14.0,52.0
all,8,1044,354,539.5,0.0,8.0,59.0
all,8,1045,148,857.0,0.0,14.0,17.0
all,8,1046,369,895.5311653116531,0.0,14.0,55.0
all,8,1047,0,,,,
all,8,1048,120,925.35,0.0,15.0,25.0
