subset,,1,num_trips,avg_duration,hours,minutes,seconds
all,814,802,24,631.5416666666666,0.0,10.0,31.0
all,814,647,41,946.6829268292682,0.0,15.0,46.0
all,814,216,27,369.1111111111111,0.0,6.0,9.0
all,814,796,614,337.9885993485342,0.0,5.0,37.0
all,814,801,146,572.8219178082192,0.0,9.0,32.0
all,814,1892,163,504.4049079754601,0.0,8.0,24.0
all,814,36,248,883.4072580645161,0.0,14.0,43.0
all,814,1889,111,486.4684684684685,0.0,8.0,6.0
all,814,1888,25,1187.68,0.0,19.0,47.0
all,814,1891,5,716.0,0.0,11.0,56.0
all,814,70,126,707.936507936508,0.0,11.0,47.0
all,814,1890,20,1542.95,0.0,25.0,42.0
all,814,138,45,935.0444444444445,0.0,15.0,35.0
all,814,1887,57,588.8947368421053,0.0,9.0,48.0
all,814,1893,138,802.036231884058,0.0,13.0,22.0
all,814,1894,37,915.5945945945946,0.0,15.0,15.0
all,814,1895,87,770.2528735632184,0.0,12.0,50.0
all,814,1899,17,1202.3529411764705,0.0,20.0,2.0
all,814,1896,6,1323.3333333333333,0.0,22.0,3.0
all,814,808,78,198.55128205128204,0.0,3.0,18.0
all,814,1898,13,667.8461538461538,0.0,11.0,7.0
all,814,1897,89,483.6179775280899,0.0,8.0,3.0
all,814,1900,62,421.0483870967742,0.0,7.0,1.0
all,1048,215,21,1064.1904761904761,0.0,17.0,44.0
all,1048,817,276,424.34420289855075,0.0,7.0,4.0
all,1048,814,209,661.2392344497607,0.0,11.0,1.0
all,1048,1048,398,780.2437185929648,0.0,13.0,0.0
all,1048,58,20,1010.3,0.0,16.0,50.0
all,1048,638,131,470.7022900763359,0.0,7.0,50.0
all,1048,1043,91,1038.098901098901,0.0,17.0,18.0
all,1048,819,56,1174.9285714285713,0.0,19.0,34.0
all,1048,1045,149,736.4765100671141,0.0,12.0,16.0
all,1048,367,123,641.1138211382114,0.0,10.0,41.0
all,1048,7,138,367.6014492753623,0.0,6.0,7.0
all,1048,8,120,925.35,0.0,15.0,25.0
all,1048,794,59,852.2372881355932,0.0,14.0,12.0
all,1048,75,42,1438.2619047619048,0.0,23.0,58.0
