subset,end_station_id,hour,avg_trips
all,116,19,1.0932203389830508
all,116,20,0.5480225988700564
all,116,21,0.4632768361581921
all,116,22,0.11864406779661017
all,116,23,0.025423728813559324
all,117,5,0.15254237288135594
all,117,6,0.4576271186440678
all,117,7,0.6751412429378532
all,117,8,1.0677966101694916
all,117,9,1.1751412429378532
all,117,10,1.2457627118644068
all,117,11,1.2768361581920904
all,117,12,1.4802259887005649
all,117,13,1.8983050847457628
all,117,14,2.5254237288135593
all,117,15,2.480225988700565
all,117,16,2.2711864406779663
all,117,17,2.0
all,117,18,1.6468926553672316
all,117,19,1.115819209039548
all,117,20,0.7175141242937854
all,117,21,0.4124293785310734
all,117,22,0.0903954802259887
all,117,23,0.05649717514124294
all,131,5,0.3248587570621469
all,131,6,0.6468926553672316
all,131,7,0.4632768361581921
all,131,8,0.3418079096045198
all,131,9,0.4915254237288136
all,131,10,0.576271186440678
all,131,11,0.5480225988700564
all,131,12,0.692090395480226
all,131,13,0.8361581920903954
all,131,14,0.9858757062146892
all,131,15,0.7231638418079096
all,131,16,0.6129943502824858
all,131,17,0.596045197740113
all,131,18,0.3926553672316384
all,131,19,0.1864406779661017
all,131,20,0.16666666666666666
all,131,21,0.0847457627118644
all,131,22,0.08192090395480225
all,131,23,0.014124293785310734
all,132,5,1.6016949152542372
all,132,6,2.9491525423728815
all,132,7,2.6412429378531073
all,132,8,1.7259887005649717
all,132,9,1.6101694915254237
all,132,10,1.844632768361582
all,132,11,2.1836158192090394
all,132,12,3.036723163841808
all,132,13,3.9152542372881354
all,132,14,4.8107344632768365
all,132,15,4.262711864406779
all,132,16,3.4858757062146895
all,132,17,3.285310734463277
all,132,18,2.847457627118644
all,132,19,2.285310734463277
all,132,20,1.8587570621468927
all,132,21,1.3192090395480225
all,132,22,0.5423728813559322
all,132,23,0.15819209039548024
all,138,5,2.290960451977401
all,138,6,3.443502824858757
all,138,7,1.5141242937853108
all,138,8,0.807909604519774
all,138,9,0.7796610169491526
all,138,10,1.0847457627118644
all,138,11,1.2231638418079096
all,138,12,1.7853107344632768
all,138,13,2.516949152542373
all,138,14,2.8728813559322033
all,138,15,2.477401129943503
all,138,16,2.1553672316384183
all,138,17,1.9830508474576272
all,138,18,1.8587570621468927
all,138,19,1.7033898305084745
all,138,20,1.536723163841808
all,138,21,1.228813559322034
all,138,22,0.4519774011299435
all,138,23,0.1327683615819209
all,140,5,0.5903954802259888
all,140,6,1.2853107344632768
all,140,7,0.8757062146892656
all,140,8,0.4265536723163842
all,140,9,0.5254237288135594
all,140,10,0.6412429378531074
all,140,11,0.8107344632768362
all,140,12,1.1214689265536724
all,140,13,1.4802259887005649
all,140,14,2.036723163841808
all,140,15,1.9350282485875707
all,140,16,1.8700564971751412
all,140,17,1.7259887005649717
all,140,18,1.7457627118644068
all,140,19,1.3248587570621468
all,140,20,0.9519774011299436
all,140,21,0.7062146892655368
all,140,22,0.3135593220338983
all,140,23,0.1271186440677966
all,150,5,1.5451977401129944
all,150,6,2.632768361581921
all,150,7,3.3333333333333335
all,150,8,3.211864406779661
all,150,9,3.3135593220338984
all,150,10,3.926553672316384
all,150,11,4.3559322033898304
all,150,12,5.062146892655368
all,150,13,5.5790960451977405
all,150,14,6.686440677966102
all,150,15,6.581920903954802
all,150,16,5.785310734463277
all,150,17,5.494350282485875
all,150,18,4.604519774011299
all,150,19,3.2598870056497176
all,150,20,2.5
all,150,21,1.7514124293785311
all,150,22,0.7344632768361582
all,150,23,0.2740112994350282
all,151,5,2.0480225988700567
all,151,6,2.6045197740112993
all,151,7,2.598870056497175
all,151,8,2.3757062146892656
all,151,9,2.446327683615819
all,151,10,2.957627118644068
all,151,11,3.367231638418079
all,151,12,3.7344632768361583
all,151,13,4.5423728813559325
all,151,14,4.923728813559322
all,151,15,4.443502824858757
all,151,16,3.632768361581921
all,151,17,3.531073446327684
all,151,18,2.5395480225988702
all,151,19,1.765536723163842
all,151,20,1.228813559322034
all,151,21,0.6666666666666666
all,151,22,0.3785310734463277
all,151,23,0.11581920903954802
all,156,5,2.268361581920904
all,156,6,2.6440677966101696
all,156,7,2.2429378531073447
all,156,8,1.3305084745762712
all,156,9,1.2598870056497176
all,156,10,1.4435028248587571
all,156,11,1.615819209039548
all,156,12,1.8361581920903955
all,156,13,1.9576271186440677
all,156,14,2.290960451977401
all,156,15,1.8644067796610169
all,156,16,1.5451977401129944
all,156,17,1.2542372881355932
all,156,18,0.9745762711864406
all,156,19,0.8333333333333334
all,156,20,0.6807909604519774
all,156,21,0.4576271186440678
all,156,22,0.15819209039548024
all,156,23,0.05367231638418079
all,157,5,6.048022598870056
all,157,6,9.51129943502825
all,157,7,8.163841807909604
all,157,8,6.3192090395480225
all,157,9,5.435028248587571
all,157,10,5.240112994350283
all,157,11,5.361581920903955
all,157,12,6.101694915254237
all,157,13,7.268361581920904
all,157,14,8.435028248587571
all,157,15,6.977401129943503
all,157,16,6.107344632768362
all,157,17,4.991525423728813
all,157,18,4.112994350282486
all,157,19,2.977401129943503
all,157,20,2.330508474576271
all,157,21,1.884180790960452
all,157,22,0.7994350282485876
all,157,23,0.24293785310734464
all,212,5,0.2655367231638418
all,212,6,0.2966101694915254
all,212,7,0.2740112994350282
all,212,8,0.211864406779661
all,212,9,0.2824858757062147
all,212,10,0.4830508474576271
all,212,11,0.5423728813559322
all,212,12,0.5536723163841808
all,212,13,0.7542372881355932
all,212,14,0.9971751412429378
all,212,15,0.9293785310734464
all,212,16,0.8220338983050848
all,212,17,0.6751412429378532
all,212,18,0.6638418079096046
all,212,19,0.5875706214689266
all,212,20,0.4293785310734463
all,212,21,0.3389830508474576
all,212,22,0.11864406779661017
all,212,23,0.05367231638418079
all,214,5,3.2005649717514126
all,214,6,5.601694915254237
all,214,7,4.6158192090395485
all,214,8,2.4322033898305087
all,214,9,2.5
all,214,10,2.42090395480226
all,214,11,2.5112994350282487
all,214,12,2.8870056497175143
all,214,13,3.437853107344633
all,214,14,3.42090395480226
all,214,15,2.9152542372881354
all,214,16,2.725988700564972
all,214,17,2.2175141242937855
all,214,18,1.6497175141242937
all,214,19,1.0677966101694916
all,214,20,0.7259887005649718
all,214,21,0.7231638418079096
all,214,22,0.3248587570621469
all,214,23,0.1384180790960452
all,215,5,1.6299435028248588
all,215,6,2.5028248587570623
all,215,7,2.093220338983051
all,215,8,1.3700564971751412
all,215,9,1.923728813559322
all,215,10,2.194915254237288
all,215,11,2.6186440677966103
all,215,12,3.274011299435028
all,215,13,4.567796610169491
all,215,14,4.4124293785310735
all,215,15,3.364406779661017
all,215,16,2.3022598870056497
all,215,17,1.57909604519774
all,215,18,1.2881355932203389
all,215,19,0.9265536723163842
all,215,20,0.6186440677966102
all,215,21,0.3474576271186441
all,215,22,0.1440677966101695
all,215,23,0.031073446327683617
all,216,5,0.21468926553672316
all,216,6,0.2824858757062147
all,216,7,0.21468926553672316
all,216,8,0.2457627118644068
all,216,9,0.2062146892655367
all,216,10,0.2966101694915254
all,216,11,0.268361581920904
all,216,12,0.3672316384180791
all,216,13,0.4124293785310734
all,216,14,0.4689265536723164
all,216,15,0.4350282485875706
all,216,16,0.3813559322033898
all,216,17,0.3361581920903955
all,216,18,0.2740112994350282
all,216,19,0.24858757062146894
all,216,20,0.22033898305084745
all,216,21,0.1384180790960452
all,216,22,0.03954802259887006
all,216,23,0.01694915254237288
all,217,5,0.8531073446327684
all,217,6,1.9548022598870056
all,217,7,1.771186440677966
all,217,8,1.0423728813559323
all,217,9,0.9463276836158192
all,217,10,1.1666666666666667
all,217,11,1.2203389830508475
all,217,12,1.4039548022598871
all,217,13,1.8418079096045197
all,217,14,2.3954802259887007
all,217,15,2.059322033898305
all,217,16,1.6836158192090396
all,217,17,1.423728813559322
all,217,18,1.3135593220338984
all,217,19,1.0508474576271187
all,217,20,0.9152542372881356
all,217,21,0.7542372881355932
all,217,22,0.3502824858757062
all,217,23,0.11299435028248588
all,219,5,2.138418079096045
all,219,6,4.545197740112994
all,219,7,2.8361581920903953
all,219,8,1.5847457627118644
all,219,9,1.4661016949152543
all,219,10,1.7090395480225988
all,219,11,1.88135593220339
all,219,12,2.621468926553672
all,219,13,3.7796610169491527
all,219,14,4.621468926553672
all,219,15,3.977401129943503
all,219,16,3.327683615819209
all,219,17,3.1412429378531073
all,219,18,2.615819209039548
all,219,19,2.2796610169491527
all,219,20,1.7429378531073447
all,219,21,1.2937853107344632
all,219,22,0.5988700564971752
all,219,23,0.20056497175141244
all,220,5,4.177966101694915
all,220,6,4.285310734463277
all,220,7,4.2259887005649714
all,220,8,3.7457627118644066
all,220,9,4.15819209039548
all,220,10,4.827683615819209
all,220,11,5.822033898305085
all,220,12,6.980225988700565
all,220,13,9.17231638418079
all,220,14,11.73728813559322
all,220,15,10.048022598870057
all,220,16,7.9576271186440675
all,220,17,6.466101694915254
all,220,18,5.596045197740113
all,220,19,4.720338983050848
all,220,20,3.4293785310734464
all,220,21,2.4745762711864407
all,220,22,0.9887005649717514
all,220,23,0.2966101694915254
all,221,5,0.536723163841808
all,221,6,1.3785310734463276
all,221,7,1.4011299435028248
all,221,8,1.231638418079096
all,221,9,1.2457627118644068
all,221,10,1.5112994350282485
all,221,11,1.805084745762712
all,221,12,2.2344632768361583
